"outcome","output","indicators","description","start date","end date","unit","baseline","target 2023","reached 2023","narrative 2023","target 2024","reached 2024","narrative 2024","target 2025","reached 2025","narrative 2025","target 2026","reached 2026","narrative 2026","target 2027","reached 2027","narrative 2027","Means of Verification","sdg","agency abbreviations","agencies"
"Efeito 2.2: Até 2027, os principais ecossistemas marinhos e terrestres e a biodiversidade estarão melhor protegidos, restaurados e geridos de forma mais sustentável, e a resiliência aos choques e impactos das alterações climáticas será melhorada e mais sensíveis às questões do género. / Outcome 2.2: By 2027, key marine and land ecosystems and biodiversity are better protected, restored, and more sustainably managed and the resilience to shocks and climate change are improved and gender responsive.","Produto 2.2.2: As instituições nacionais reforçam as capacidades para a conservação, restauração e valorização dos ecossistemas e da biodiversidade, incluindo com sistemas de monitorização, informação, protecção e gestão dos recursos naturais, acesso ao financiamento climático, e relatórios sobre os compromissos globais.","Number of degraded forest under habitation and restoration, supported by the UN","REF. # INDICADOR MENU DE PRODUTO: OI 15.3
LINHA DE BASE: a) 583 ha; b) 469 ha (2022)
META: a) 3.020 ha; b) 2.600 ha - (2023 - a) 0 b) 0; 2024 - a) 280 b) 240; 2025 - a) 540 b) 480; 2026 - a) 1.200 b) 980; 2027 - a) 1.000 b) 900) (2027)
AGÊNCIA RESPONSÁVEL: FAO: Katya Mascarenhas
FONTE / MEIOS DE VERIFICAÇÃO: Base de dados do Sistema de Informação Geográfica (SIG)Registros DGASP e plataforma digitalRelatórios de Monitorização do Projecto (1. Rumo à neutralidade da degradação do solo para maior equidade, sustentabilidade e resiliência; 2. Aumento da resiliência das comunidades locais às mudanças climáticas por meio de melhor gestão de bacias hidrográficas e restauração de terras)","2023-01-01","2027-12-31","Hectares",1052,"-","0","Este indicador  deverá ser alcançado através do projecto “Gestão de ameaças sectoriais múltiplas nos ecossistemas marinhos para alcançar um crescimento Azul Sustentavel” que teve o seu arranque  apenas em 2023 e encontra-se assim numa fase iniciacl de execução. Trata-se deum projecto PNUD-GEF/MAA  executado totalmente pelo Governo ( Direcção Nacional do Ambiente, Ministerio da Agricultura e Ambiente)",520,30,"-",1020,"-","-",2180,"-","-",1900,"-","-",,,"FAO","Food and Agriculture Organization of the United Nations"
"Efeito 1: Até 2027, mais pessoas, especialmente as que vivem em situações de mais vulnerabilidade ou marginalização e as que vivem com deficiências, terão acesso equitativo e utilização de serviços sociais essenciais e de proteção de alta qualidade, resilientes, sensíveis ao género e modernos. / Outcome 1: By 2027, more people, especially those living in the most vulnerable and marginalized situations and those living with disabilities, have equitable access to and use of high-quality, resilient, gender-responsive, and modern essential social services and protection.","Produto 1.1.1: As instituições nacionais, os parceiros sociais e as organizações da sociedade civil, têm maiores e melhores capacidades para fornecer, inovar e fazer parcerias para a protecção social e a proteção das crianças e adolescentes, os serviços essenciais, e sistemas de dados, monitorização e informação.","Quality of free and universal birth registration service within civil registration and vital statistics, in accordance with international standards and best practices, supported by the UN","REF. # INDICADOR MENU DE PRODUTO: OI 16.1
LINHA DE BASE: Média (Cabo Verde tem 5 dos 6 critérios para um serviço de registo de nascimento gratuito e universal)(2022)
META: Alta (Cabo Verde cumpre um serviço de registo de nascimento de alta qualidade, gratuito e universal, cumprindo todos os 6 critérios)(2027). Seis critérios para um serviço de registo de nascimento gratuito e universal: 1. O registo de nascimento é gratuito para todas as crianças (0-17 anos); 2. A primeira cópia da certidão de nascimento é emitida gratuitamente para todas as crianças (0-17 anos); se não for assim, especificar o período/grupo de idade para o qual é fornecida gratuitamente; 3. O registo de nascimento é exigido por lei para todos os nascimentos; 4. Os nascimentos são registados sem discriminação; 5. O sistema de registo civil está implementado para chegar a todos os ilhas/municípios; 6. Os registos de registo civil são mantidos permanentemente e recuperáveis a partir de uma fonte secundária/back-up e segura.
AGÊNCIA RESPONSÁVEL: UNICEF: Jairson Gomes","2023-01-01","2027-12-31","Scale","Medium","Medium","Medium","-","Medium","Medium","","Medium","Medium","Cabo Verde has a formal civil registration system governed by its Civil Registry Code (Law No. 75/VIII/2014). According to UNICEF reporting, Cabo Verde has achieved high coverage — with about 98.5 % of children registered before age five — signaling strong progress toward universal birth registration. Despite progress, some parents may lack awareness about the importance or procedures for timely birth registration. Families in remote and rural areas may have difficulty reaching registration offices.","Medium","-","-","High","-","-"," Base de dados do sistema de registo de nascimento do Ministério da Justiça; Relatório Anual (Alternativa disponível / Plataforma online para emissão de todos os documentos de identificação / registos vitais)",,"UNICEF","United Nations Children's Fund"
"Efeito 3.1: Até 2027, mais pessoas, especialmente mulheres, jovens e grupos vulneráveis, exercerão livremente os seus direitos, participarão e beneficiarão de instituições inclusivas, resilientes, transparentes e responsáveis e de um sistema de governação democrática mais modernizado, transformador e eficaz que defenda o Estado de direito, a nível nacional e local. / Outcome 3: By 2027, more people, especially women, youth and those in vulnerable groups, freely exercise their rights, participate in, and benefit from, inclusive, resilient, transparent, and accountable institutions and a more modernized, transformative and effective system of democratic governance that upholds the rule of law, at national and local levels.","Produto 3.1.2: As instituições estatais reforçaram as capacidades para um desenho e implementação de políticas e estratégias mais coerentes, transparentes, responsáveis, baseadas em provas e resultados, participativas e inovadoras a todos os níveis, a fim de abordar barreiras estruturais, aumentar o crescimento económico, reduzir as disparidades territoriais e sociais e fazer avançar a igualdade de género e os direitos humanos.","Extent to which UN-supported oversight, accountability, or protection mechanisms, especially on civic space, that conform to international human rights standards are in place","REF. # INDICADOR MENU DE PRODUTO: OI 16.2
LINHA DE BASE: Escala: Parcial (2022)
META: Escala: Total/Pleno (2027)
AGÊNCIA RESPONSÁVEL: UNDP: Elisabete Mendes OHCHR: Yabé Ba
FONTE / MEIOS DE VERIFICAÇÃO: PNUD: Relatórios dos países signatários das Convenções dos Direitos Humanos; comissão interministerial para relatórios aos relatórios da Convenção dos Direitos do HomemOHCHR: O mandato da Comissão Nacional dos Direitos Humanos está alinhado com os Princípios de Paris","2023-01-01","2027-12-31","Scale","Partial (mechanism is in place but overall there is little or no alignment with HRs)","Partial (mechanism is in place but overall there is little or no alignment with HRs)","Partial (mechanism is in place but overall there is little or no alignment with HRs)","UNDP: Supported the MoJ and Government in preparing the UPR2023 that were presented in November 2023 where Cabo Verde did well. Subsequent to the UPR 2023, Cabo Verde have 205 Recommendation for the next cycle and UNDP is supporting the MoJ, CNDHC and the Interministerial Commission that uphold the recommendations. Several capacity building sessions is set to be made and the continuous support on the implementation of the Human Rights Observatory in Cabo Verde. The NHRI is yet to be in accordance with Paris Principle - the major challenge is on the independence side of the NHRI (institutional and financial).&nbsp;","Partial (mechanism is in place but overall there is little or no alignment with HRs)","Partial (mechanism is in place but overall there is little or no alignment with HRs)","UNDP: Supported the MoJ and Government in preparing the UPR2023 that were presented in November 2023 where Cabo Verde did well. Subsequent to the UPR 2023, Cabo Verde have 205 Recommendation for the next cycle and UNDP is supporting the MoJ, CNDHC and the Interministerial Commission that uphold the recommendations. Several capacity building sessions is set to be made and the continuous support on the implementation of the Human Rights Observatory in Cabo Verde. The NHRI is yet to be in accordance with Paris Principle - the major challenge is on the independence side of the NHRI (institutional and financial).&nbsp;","Substantial (mechanism is in place and substantially aligned with HRs, but there are some areas where alignment is needed)","Partial (mechanism is in place but overall there is little or no alignment with HRs)","UNDP: Supported the MoJ and Government in preparing the UPR2023 that were presented in November 2023 where Cabo Verde did well. Subsequent to the UPR 2023, Cabo Verde have 205 Recommendation for the next cycle and UNDP is supporting the MoJ, CNDHC and the Interministerial Commission that uphold the recommendations. Capacity building sessions were upheld, in close articulation with UNDP and OHCHR, UPR action Plan is approved and in implementation by CNDHC and Ministry of Justice, with support from Ombudsman's Office and ICIEGMajor challenge continues - Existence and independence of a NHRI (institutional and financial).&nbsp;","Substantial (mechanism is in place and substantially aligned with HRs, but there are some areas where alignment is needed)","-","-","Full (mechanism is in place and fully aligned with HRs)","-","-",,,"OHCHR; UNDP","United Nations High Commissioner for Human Rights; United Nations Development Programme"
"Efeito 3.1: Até 2027, mais pessoas, especialmente mulheres, jovens e grupos vulneráveis, exercerão livremente os seus direitos, participarão e beneficiarão de instituições inclusivas, resilientes, transparentes e responsáveis e de um sistema de governação democrática mais modernizado, transformador e eficaz que defenda o Estado de direito, a nível nacional e local. / Outcome 3: By 2027, more people, especially women, youth and those in vulnerable groups, freely exercise their rights, participate in, and benefit from, inclusive, resilient, transparent, and accountable institutions and a more modernized, transformative and effective system of democratic governance that upholds the rule of law, at national and local levels.","Produto 3.1.1: Mais pessoas, particularmente mulheres, jovens e pessoas que vivem em situações vulneráveis, estão empoderadas para exercer os seus direitos, individualmente ou através de organizações da sociedade civil mais fortes e mais eficazes.","Level of meaningful participation of right-holders, especially women and discriminated groups, in selected public processes, supported by the UN","REF. # INDICADOR MENU DE PRODUTO: OI 16.4
LINHA DE BASE: 2 - Não houve alterações significativass(2022)
META: 4 - Progressos significativos alcançados(2027)
AGÊNCIA RESPONSÁVEL: PNUD/UNFPA: Elisabete Mendes; UNESCO: Adele Nibona
FONTE / MEIOS DE VERIFICAÇÃO: PNUD; UNFPA: Relatórios produzidos por organizações da sociedade civil com a participação dos titulares de direitos, particularmente os grupos discriminados; UNESCO: Sensibilização das Escolas MOST, relatórios de pedidos e sessões de formação (Programa de Gestão de Transformações Sociais (MOST) da UNESCO) - alvo: jovens mulheres, jovens líderes activistas e parlamentares; as Escolas MOST são actividades de capacitação centradas no reforço das competências para a tomada de decisões informadas em matéria de provas nos Estados Membros. Ajudam a desenvolver a capacidade dos investigadores e decisores de traduzir o conhecimento em acção.","2023-01-01","2027-12-31","Range",2,2,2,"The process of approving the Anti Discrimination law is ongoing.The Diploma is at Parliament for due appreciation.",2,2,"The process of approving the Anti Discrimination law is ongoing.The Diploma is at Parliament for due appreciation.",3,2,"The process of approving the Anti Discrimination law is ongoing.The Diploma is at Parliament for due appreciation.",3,"-","-",4,"-","-",,,"UNDP; UNESCO; UNFPA","United Nations Development Programme; United Nations Educational, Scientific and Cultural Organisation; United Nations Population Fund"
"Efeito 3.1: Até 2027, mais pessoas, especialmente mulheres, jovens e grupos vulneráveis, exercerão livremente os seus direitos, participarão e beneficiarão de instituições inclusivas, resilientes, transparentes e responsáveis e de um sistema de governação democrática mais modernizado, transformador e eficaz que defenda o Estado de direito, a nível nacional e local. / Outcome 3: By 2027, more people, especially women, youth and those in vulnerable groups, freely exercise their rights, participate in, and benefit from, inclusive, resilient, transparent, and accountable institutions and a more modernized, transformative and effective system of democratic governance that upholds the rule of law, at national and local levels.","Produto 3.1.1: Mais pessoas, particularmente mulheres, jovens e pessoas que vivem em situações vulneráveis, estão empoderadas para exercer os seus direitos, individualmente ou através de organizações da sociedade civil mais fortes e mais eficazes.","Number of new people registered with legal identity, with UN's support","REF. # INDICADOR MENU DE PRODUTO: OI 16.5
LINHA DE BASE: Por Tipo de Identidade Jurídica: • Certidão de nascimento: 0; • Certidão de casamento: 0; • Certidão de divórcio: 0; • Certidão de Óbito: 0; • Bilhete de identidade: 0; • Passaporte: 0; • Autorização de residência: 0 (2022)
META: Por Tipo de Identidade Jurídica: • Certidão de nascimento: 1000 (F 500; M 500); • Certidão de casamento: 1000 (F 500; M 500); • Certidão de divórcio: 1000 ((F 500; M 500); • Certidão de óbito: 1000 (F 500; M 500); • Bilhete de identidade: 1000 (F 500; M 500); • Passaporte: 1000 (F 500; M 500); • Autorização de residência: 1000 (F 500; M 500) (2023)
AGÊNCIA RESPONSÁVEL: OIM: Fátima Falua
FONTE / MEIOS DE VERIFICAÇÃO: Relatórios anuais do projeto “Programa Global: Melhorar a Readmissão e a Capacidade de Identidade Legal (Relica)”; Comunicação formal por escrito do lançamento das plataformas de pedido online de emissão de certidão de nascimento, certidão de casamento, certidão de divórcio, certidão de óbito, bilhete de identidade, passaporte e título de residência, bem como o relatório do dashboard da plataforma sobre o número de pedidos efetuados por tipo de documento informado pelo DGRNI DEF, e SNIAC.","2023-01-01","2027-12-31","People","0","-","0","",1750,1335,"As of now, the only way to collect such data would've been from OACV and even then the data is not official one as this is a project to be implemented between OACV and MoJ with a platform that monitors this performance. The Judiciary Superior Council does not measure ""people access"" but of processed cases - 2022/2023 period during which 24,442 cases were processed (of which 12,454 are civil and 11,988 are criminal cases), 717 more than in the previous judicial year.",1750,"-","-",1750,"-","-",1750,"-","-",,,"IOM","International Organization for Migration"
"Efeito 3.1: Até 2027, mais pessoas, especialmente mulheres, jovens e grupos vulneráveis, exercerão livremente os seus direitos, participarão e beneficiarão de instituições inclusivas, resilientes, transparentes e responsáveis e de um sistema de governação democrática mais modernizado, transformador e eficaz que defenda o Estado de direito, a nível nacional e local. / Outcome 3: By 2027, more people, especially women, youth and those in vulnerable groups, freely exercise their rights, participate in, and benefit from, inclusive, resilient, transparent, and accountable institutions and a more modernized, transformative and effective system of democratic governance that upholds the rule of law, at national and local levels.","Produto 3.1.4: Os sistemas de justiça e segurança são reforçados para melhorar o acesso, ser responsável, eficaz e eficiente, prevenir a violência, lutar contra o tráfico ilícito e os crimes, especialmente os crimes contra mulheres e crianças, e proporcionar uma solução eficaz.","Number of people, who have access to justice, with UN's support","REF. # INDICADOR MENU DE PRODUTO: OI 16.6
LINHA DE BASE: 5.000 (Para o baseline, os dados disponíveis não estão desagregados por sexo e idade.) (2022)
META: 28.000 (XX F; XX M) Acrescentar idade/faixa etária; Prever a desagregação (2027)
AGÊNCIA RESPONSÁVEL: UNDP: Elisabete Mendes
FONTE / MEIOS DE VERIFICAÇÃO: Actas e registos oficiais anuais do Ministério da Justiça/DGPJ, relatório anual da Ordem dos Advogados","2023-01-01","2027-12-31","People",5000,4600,"-","UNDP:&nbsp;As of now, the only way to collect such data would've been from OACV and even then the data is not official one as this is a project to be implemented between OACV and MoJ with a platform that monitors this performance. The Judiciary Superior Council (2022/2023 Official Report) does not measure ""people's access"" but processed cases - 2022/2023 period during which 24,442 cases were processed (of which 12,454 are civil and 11,988 are criminal cases), 717 more than in the previous judicial year.",4600,"-","-",4600,"-","The Judiciary Superior Council (2024/2025 Official Report) does not measure ""people's access"" but processed cases. During the 2024/25 judicial year (August 1, 2024 to July 31, 2025), 25,515 cases were processed (of which 11,629 are civil and 13,886 are criminal cases), 520 more than in the previous judicial year.",4600,"-","-",4600,"-","-",,,"UNDP","United Nations Development Programme"
"Efeito 2.1: Até 2027, uma economia mais sustentável, inclusiva, diversificada e integrada gerará empregos decentes, segurança alimentar e nutrição para os mais vulneráveis, especialmente as mulheres, os jovens e os mais pobres. / Outcome 2.1: By 2027, a more sustainable, inclusive, diversified and integrated economy generates decent jobs, food security and nutrition for the most vulnerable, especially women, youth and the extreme poor.","Produto 2.1.2: As pequenas e médias empresas são integradas nas cadeias verde, azul e de valor, suas capacidades produtivas e acesso a serviços financeiros e não financeiros são fortalecidos e soluções de mercado, baseadas na natureza e com eficiência energética (no setor privado) são promovidos.","Number of policies developed or improved for the benefit of micro, small and medium-sized enterprises (MSMEs) with business sector input and promulgated or implemented by the Government, with UN's support","REF. # INDICADOR MENU DE PRODUTO: OI 17.1
LINHA DE BASE: UNESCO: 0 (2022)
META: UNESCO: 1 (2027)
AGÊNCIA RESPONSÁVEL: UNESCO: Adele Nibona
FONTE / MEIOS DE VERIFICAÇÃO: Novo Estatuto da Lei do Artista de Cabo Verde (apoiado pela UNESCO) Publicação no Boletim Oficial","2023-01-01","2027-12-31","Number","0","0","-","-","0","-","-","0","-","-","0","-","-","1","-","-",,,"UNESCO","United Nations Educational, Scientific and Cultural Organisation"
"Efeito 3.1: Até 2027, mais pessoas, especialmente mulheres, jovens e grupos vulneráveis, exercerão livremente os seus direitos, participarão e beneficiarão de instituições inclusivas, resilientes, transparentes e responsáveis e de um sistema de governação democrática mais modernizado, transformador e eficaz que defenda o Estado de direito, a nível nacional e local. / Outcome 3: By 2027, more people, especially women, youth and those in vulnerable groups, freely exercise their rights, participate in, and benefit from, inclusive, resilient, transparent, and accountable institutions and a more modernized, transformative and effective system of democratic governance that upholds the rule of law, at national and local levels.","Produto 3.1.3: As instituições públicas e privadas a todos os níveis têm capacidades reforçadas para coordenar, desenvolver parcerias e aumentar a mobilização de recursos financeiros e técnicos internos e externos, incluindo da diáspora.","Degree of alignment of national budgeting system with Sustainable Development Goals (SDGs) that enable tracking of budget allocation for the SDGs, including through gender-responsive budgeting, supported by the UN","REF. # INDICADOR MENU DE PRODUTO:  OI 17.2
UNIDADE DE MEDIDA: Escala (Limitado, Moderado, Alto)
LINHA DE BASE: Limitado (impossível de controlar as despesas orçamentais em os ODSs) (Plano Nacional de Desenvolvimento 2017-2021 (PEDS I) desenvolvido, mas sem qualquer seguimento das despesas orçamental em ODS (2022)
META: Moderado (as despesas orçamentais em alguns dos ODS são claras); Plano Nacional de Desenvolvimento 2022-2026 (PEDS II) em processo de finalização e alinhado com os ODS) (2027)
AGÊNCIA RESPONSÁVEL: UNDP: Elisabete Mendes
FONTE / MEIOS DE VERIFICAÇÃO: Relatório anual de execução orçamental do governo; Relatórios anuais do Ministério das Finanças DNOCP e DNP ","2023-01-01","2027-12-31","Scale","Limited","Limited","Limited","UNDP: M&amp;E allow this alignment and gender-responsive budgeting is already set (PRO PALOP-TL - gender markers for instance). Quarterly and annual State Budget Execution Report (Annual Report is set to be delivered on September 2024). DNOCP (National Directorate for Budget and Public Account) report on 4th quarter has gender related information on budget execution.","Limited","Limited","UNDP: M&amp;E allow this alignment and gender-responsive budgeting is already set (PRO PALOP-TL - gender markers for instance). Quarterly and annual State Budget Execution Report (Annual Report is set to be delivered on September 2024). DNOCP (National Directorate for Budget and Public Account) report on 4th quarter has gender related information on budget execution.","Limited","Moderate","UNDP: M&amp;E allow this alignment and gender-responsive budgeting is already set (PRO PALOP-TL - gender markers for instance). Quarterly and annual State Budget Execution Report (Annual Report is set to be delivered on September 2024). DNOCP (National Directorate for Budget and Public Account) report on 4th quarter has gender related information on budget execution.In 2025 PROPALOP-TL started to implement the Gender Equality Seal Initiative within the Ministry of Finance an important tool to measure the advances in gender equality within public entities in Cabo Verde. This is a 24 month initiative that Cabo Verde has agreed to.","Moderate","-","","Moderate","-","-",,,"UNDP","United Nations Development Programme"
"Efeito 3.1: Até 2027, mais pessoas, especialmente mulheres, jovens e grupos vulneráveis, exercerão livremente os seus direitos, participarão e beneficiarão de instituições inclusivas, resilientes, transparentes e responsáveis e de um sistema de governação democrática mais modernizado, transformador e eficaz que defenda o Estado de direito, a nível nacional e local. / Outcome 3: By 2027, more people, especially women, youth and those in vulnerable groups, freely exercise their rights, participate in, and benefit from, inclusive, resilient, transparent, and accountable institutions and a more modernized, transformative and effective system of democratic governance that upholds the rule of law, at national and local levels.","Produto 3.1.3: As instituições públicas e privadas a todos os níveis têm capacidades reforçadas para coordenar, desenvolver parcerias e aumentar a mobilização de recursos financeiros e técnicos internos e externos, incluindo da diáspora.","Data collection and analysis mechanisms/initiatives providing disaggregated data to monitor progress towards the Sustainable Development Goals (SDGs) and enhancing policy coherence for sustainable development, established/implemented with UN's support","REF. # INDICADOR MENU DE PRODUTO: OI 17.3
LINHA DE BASE: Moderado (o mecanismo de recolha de dados existe para monitorizar os dados dos GDS, mas os dados desagregados são limitados, e as implicações políticas são limitadas) (2022)
META: Alto (Mecanismo de recolha de dados fornece dados desagregados utilizados para monitorizar o progresso para os ODS e reforçar a coerência política) (2027)
AGÊNCIA RESPONSÁVEL: UNDP/UNFPA: Elisabete Mendes; FAO: Katya Mascarenhas; UNESCO: Adele Nibona
FONTE / MEIOS DE VERIFICAÇÃO: PNUD; UNFPA: Relatórios do INE; INE Anuário Estatístico;FAO: Inquérito Socioeconómico de Pesca Artesanal; Inquérito à Vulnerabilidade Alimentar e Nutricional das Famílias; contributos para as Contribuições Determinadas a Nível Nacional; Pontuação da Experiência de Insegurança AlimentarUNESCO: Relatório sobre a implementação do projecto ""ReIShaping policies for creativity and artistic freedom"".","2023-01-01","2027-12-31","Scale","Moderate","Moderate","Moderate","UNDP: An M&amp;E Platform was created and publicly presented on August 2023. INE also presented in 2023 the Statistical Report on the SDG update in the Country regarding 2022 data. Needs additional regulation (regulations for all State structures to implement and use the Platform).","Moderate","Moderate","UNDP: An M&amp;E Platform was created and publicly presented on August 2023. INE also presented in 2023 the Statistical Report on the SDG update in the Country regarding 2022 data. Needs additional regulation (regulations for all State structures to implement and use the Platform).","Moderate","Moderate","UNDP: An M&amp;E Platform was created and publicly presented on August 2023. Needs additional regulation (regulations for all State structures to implement and use the Platform).INE planned to finalize the Statistical Report on the SDG by December 2025, last update was in 2022.","High","-","-","High","-","-",,,"FAO; UNDP; UNESCO","Food and Agriculture Organization of the United Nations; United Nations Development Programme; United Nations Educational, Scientific and Cultural Organisation"
"Efeito 3.1: Até 2027, mais pessoas, especialmente mulheres, jovens e grupos vulneráveis, exercerão livremente os seus direitos, participarão e beneficiarão de instituições inclusivas, resilientes, transparentes e responsáveis e de um sistema de governação democrática mais modernizado, transformador e eficaz que defenda o Estado de direito, a nível nacional e local. / Outcome 3: By 2027, more people, especially women, youth and those in vulnerable groups, freely exercise their rights, participate in, and benefit from, inclusive, resilient, transparent, and accountable institutions and a more modernized, transformative and effective system of democratic governance that upholds the rule of law, at national and local levels.","Produto 3.1.3: As instituições públicas e privadas a todos os níveis têm capacidades reforçadas para coordenar, desenvolver parcerias e aumentar a mobilização de recursos financeiros e técnicos internos e externos, incluindo da diáspora.","Existence of a National Sustainable Development Goals (SDGs) financing strategy in the country developed with UN's support","REF. # INDICADOR MENU DE PRODUTO: OI 17.4
LINHA DE BASE: Inexistente (2022)
META: Parcialmente (2027)
AGÊNCIA RESPONSÁVEL: UNDP: Elisabete Mendes
FONTE / MEIOS DE VERIFICAÇÃO: Relatório anual do Ministério das Finanças","2023-01-01","2027-12-31","Scale","Not at all","Not at all","Not at all","","Not at all","Not at all","UNDP: Not developed. There is a ToR for the Strategy, with support from the JO and INFF based, but yet to be implemented. To be aligned with DNP and, potentially, with MNECIR (SIDS coordination unit) and implemented during CCPD (until 2027)","Not at all","Not at all","UNDP: Not developed. There is a ToR for the Strategy, with support from the JO and INFF based, but yet to be implemented. To be aligned with DNP and, potentially, with MNECIR (SIDS coordination unit) and implemented during CCPD (until 2027).With support from UNDP, MNECIR did developed a SIDS Diplomacy and Governance Strategy, publicly presented in 2025","Partially","-","-","Partially","-","-",,,"UNDP","United Nations Development Programme"
"Efeito 2.2: Até 2027, os principais ecossistemas marinhos e terrestres e a biodiversidade estarão melhor protegidos, restaurados e geridos de forma mais sustentável, e a resiliência aos choques e impactos das alterações climáticas será melhorada e mais sensíveis às questões do género. / Outcome 2.2: By 2027, key marine and land ecosystems and biodiversity are better protected, restored, and more sustainably managed and the resilience to shocks and climate change are improved and gender responsive.","Produto 2.2.1: Mais pessoas e instituições têm conhecimento e consciência da riqueza natural, dos riscos de degradações, e acesso adequado aos serviços e infra-estruturas de gestão dos recursos naturais.","Percentagem do total de terras agrícolas (ha) com maior resiliência climática e resistência à seca/estresse hídrico, conseguida com o apoio das Nações Unidas","REF. # INDICADOR MENU DE PRODUTO: Indicador do inventário6.4.2_1
LINHA DE BASE: 0% (0 ha)Total de terrenos agrícolas em Cabo Verde = 45,393 há (2020)
META: > 2 % ( > 900 ha) (2027)
AGÊNCIA RESPONSÁVEL: Recenceamento Geral Agrícola de 2015Recenceamento Geral Agrícola de 2025Relatórios de Monitorização do Projecto (1. Rumo à neutralidade da degradação do solo para maior equidade, sustentabilidade e resiliência; 2. Aumento da resiliência das comunidades locais às mudanças climáticas por meio de melhor gestão de bacias hidrográficas e restauração de terras)
FONTE / MEIOS DE VERIFICAÇÃO: FAO: Katya Mascarenhas","2023-01-01","2027-12-31","Percent","0","-","-","-","-","-","-","-","-","-","-","-","-","2","-","-","Recenceamento Geral Agrícola de 2015Recenceamento Geral Agrícola de 2025Relatórios de Monitorização do Projecto (1. Rumo à neutralidade da degradação do solo para maior equidade, sustentabilidade e resiliência; 2. Aumento da resiliência das comunidades locais às mudanças climáticas por meio de melhor gestão de bacias hidrográficas e restauração de terras)",,"-","-"
"Efeito 3.1: Até 2027, mais pessoas, especialmente mulheres, jovens e grupos vulneráveis, exercerão livremente os seus direitos, participarão e beneficiarão de instituições inclusivas, resilientes, transparentes e responsáveis e de um sistema de governação democrática mais modernizado, transformador e eficaz que defenda o Estado de direito, a nível nacional e local. / Outcome 3: By 2027, more people, especially women, youth and those in vulnerable groups, freely exercise their rights, participate in, and benefit from, inclusive, resilient, transparent, and accountable institutions and a more modernized, transformative and effective system of democratic governance that upholds the rule of law, at national and local levels.",,"3.1.2 Proporção de mulheres e raparigas de 15 anos ou mais sujeitas a violência física, sexual ou psicológica por um atual ou antigo parceiro íntimo nos últimos 12 meses, por tipo de violência e urbano/rural (UNDP)","LINHA DE BASE: Violência emocional: 14,1% (Urbana: 15,1%; Rural: 11,5%); Violência física: 13,8% (Urbana: 15,2%; Rural: 9,7%);Violência sexual: 3,7% (Urbana: 3,9%; Rural: 3,3%)(2018)
META 2027: Violência emocional: 10% (Urbano 13.5%; Rural: 6.6%); Violência física: 7,5% (Urbano: 10.1%; Rural: 5%); Violência sexual: 2.0% (Urbano: 2.8%; Rural: 1.4%)
AGÊNCIA RESPONSÁVEL: UNDP: Frederic Mbassa
FONTE / MEIOS DE VERIFICAÇÃO: INE - Inquérito Demográfico e Saúde Reprodutiva (IDSR-IV)","2023-01-01","2027-12-31","-","14,1%; 13,8%; 3,7%; ","-","0","Violência emocional: 14,1% (Urbana: 15,1%; Rural: 11,5%); Violência física: 13,8% (Urbana: 15,2%; Rural: 9,7%);Violência sexual: 3,7% (Urbana: 3,9%; Rural: 3,3%)(2018)","-","0","Violência emocional: 14,1% (Urbana: 15,1%; Rural: 11,5%); Violência física: 13,8% (Urbana: 15,2%; Rural: 9,7%);Violência sexual: 3,7% (Urbana: 3,9%; Rural: 3,3%)(2018)","-","0","Não temos dados oficiais para 2025.Estamos a aguardar dados do IDSR IV","-","0","-","10%; 7,5%; 2%","-","-","INE - Inquérito Demográfico e Saúde Reprodutiva (IDSR-IV)","Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,
"Efeito 2.2: Até 2027, os principais ecossistemas marinhos e terrestres e a biodiversidade estarão melhor protegidos, restaurados e geridos de forma mais sustentável, e a resiliência aos choques e impactos das alterações climáticas será melhorada e mais sensíveis às questões do género. / Outcome 2.2: By 2027, key marine and land ecosystems and biodiversity are better protected, restored, and more sustainably managed and the resilience to shocks and climate change are improved and gender responsive.",,"2.2.2 Despesas nacionais totais per capita na preservação, protecção e conservação de todo o património cultural, incluindo o património material e imaterial, e natural, por fonte de financiamento (pública, privada), tipo de património (cultural, natural) e nível de governo (nacional, regional e local/municipal) (UN HABITAT, UNESCO)","LINHA DE BASE: Total de despesas: 25,121,289 CVE (IPC)Total per capita: 51.14 CVE(25,121,298 ECV / 491,233 população)(2021)
META 2027: Total de despesas: 50,505,200 CVE (IPC)Total per capita: 102.81 CVE(50,505,200 ECV / 491,233 população)
AGÊNCIA RESPONSÁVEL: UN HABITAT: Jeiza Barbosa UNESCO: Adele Nibona
FONTE / MEIOS DE VERIFICAÇÃO: Relatório anual de despesas do Instituto do Património Cultural (IPC)","2023-01-01","2027-12-31","-","51.14 ","-","-","-","-","-","-","-","-","-","-","-","-","102.81","-","-","Relatório anual de despesas do Instituto do Património Cultural (IPC)","Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",,
